date;animal quantity;grass quantity;average animal energy;average animal life span;average children quantity;
0;40;0;50.0;0.0;0.0;
1;42;2;46.67;0.0;0.1;
2;46;4;41.7;0.0;0.26;
3;50;5;37.72;0.0;0.4;
4;54;7;34.07;0.0;0.52;
5;60;9;29.83;0.0;0.67;
6;61;11;28.36;0.0;0.69;
7;61;13;27.36;0.0;0.69;
8;61;15;26.36;0.0;0.69;
9;61;15;25.69;0.0;0.69;
10;62;14;24.77;0.0;0.71;
11;62;14;24.1;0.0;0.71;
12;63;15;22.9;0.0;0.73;
13;64;16;21.72;0.0;0.75;
14;64;17;20.88;0.0;0.75;
15;65;19;19.58;0.0;0.77;
16;66;20;18.45;0.0;0.79;
17;67;21;17.34;0.0;0.81;
18;66;23;16.61;13.0;0.82;
19;65;21;16.48;13.5;0.83;
20;65;21;15.78;13.5;0.83;
21;62;23;15.55;16.6;0.87;
22;60;22;15.57;16.85;0.9;
23;59;22;15.17;16.99;0.92;
24;58;23;14.64;18.39;0.86;
25;57;24;14.09;19.16;0.86;
26;55;24;13.96;20.07;0.84;
27;51;25;14.25;21.01;0.9;
28;48;24;14.77;21.01;0.96;
29;47;24;14.51;21.1;0.98;
30;47;25;13.72;21.1;0.98;
31;45;27;13.33;21.92;0.93;
32;44;26;13.32;22.32;0.91;
33;44;28;12.32;22.32;0.91;
34;44;27;12.0;22.32;0.91;
35;44;29;11.0;22.32;0.91;
36;40;31;11.1;23.66;0.85;
37;39;28;11.67;24.1;0.82;
38;37;30;11.3;23.43;0.86;
39;37;29;11.11;23.43;0.86;
40;36;28;11.25;23.93;0.83;
41;32;29;11.97;24.93;0.91;
42;30;30;12.1;25.5;0.9;
43;28;32;11.96;26.36;0.89;
44;27;33;11.78;26.38;0.93;
45;24;35;12.25;27.62;0.88;
46;23;33;13.52;28.02;0.78;
47;23;34;12.96;28.02;0.78;
48;23;36;11.96;28.02;0.78;
49;23;38;10.96;28.02;0.78;
50;23;40;10.04;28.49;0.78;
51;16;42;13.5;31.76;1.19;
52;14;43;15.14;32.47;1.07;
53;14;44;14.86;32.47;1.07;
54;14;44;15.29;32.47;1.07;
55;12;46;16.83;33.24;0.92;
56;12;47;16.67;33.24;0.92;
57;12;47;17.33;33.24;0.92;
58;12;48;17.17;33.24;0.92;
59;12;48;17.83;33.24;0.92;
60;12;49;17.67;33.24;0.92;
61;11;47;21.91;33.7;1.0;
62;11;49;20.91;33.7;1.0;
63;11;50;20.82;33.7;1.0;
64;11;52;19.82;33.7;1.0;
65;10;53;21.8;34.21;1.0;
66;9;55;23.22;34.72;0.78;
67;9;56;23.33;34.72;0.78;
68;9;57;23.44;34.72;0.78;
69;9;58;23.56;34.72;0.78;
70;9;57;25.89;34.72;0.78;
71;9;57;27.11;34.72;0.78;
72;9;59;26.11;34.72;0.78;
73;9;59;27.33;34.72;0.78;
74;9;59;28.56;34.72;0.78;
75;9;59;29.78;34.72;0.78;
76;9;61;28.78;34.72;0.78;
77;9;62;28.89;34.72;0.78;
78;9;64;27.89;34.72;0.78;
79;9;63;30.22;34.72;0.78;
80;9;64;30.33;34.72;0.78;
81;8;64;35.75;36.16;1.13;
82;10;65;28.8;36.16;1.3;
83;11;67;25.36;36.16;1.36;
84;12;65;25.75;36.16;1.42;
85;13;65;24.38;36.16;1.46;
86;13;66;24.15;36.16;1.46;
87;14;68;21.5;36.16;1.5;
88;14;69;21.21;36.16;1.5;
89;14;70;20.93;36.16;1.5;
90;14;71;20.64;36.16;1.5;
91;14;71;21.07;36.16;1.5;
92;14;70;22.21;36.16;1.5;
93;14;71;21.93;36.16;1.5;
94;14;71;21.64;36.16;1.5;
95;14;70;22.79;36.16;1.5;
96;14;69;23.93;36.16;1.5;
97;14;71;22.93;36.16;1.5;
98;14;71;23.36;36.16;1.5;
99;13;72;24.92;35.87;1.62;
100;13;71;26.23;35.87;1.62;
101;13;73;25.23;35.87;1.62;
102;13;75;24.23;35.87;1.62;
103;12;73;28.58;36.81;1.75;
104;12;75;27.58;36.81;1.75;
105;12;75;28.25;36.81;1.75;
106;12;75;28.92;36.81;1.75;
107;12;74;30.42;36.81;1.75;
108;12;75;30.25;36.81;1.75;
109;12;76;30.08;36.81;1.75;
110;12;78;29.08;36.81;1.75;
111;12;80;28.08;36.81;1.75;
112;12;82;27.08;36.81;1.75;
113;12;83;26.92;36.81;1.75;
114;11;85;28.36;36.66;1.91;
115;11;87;27.36;36.66;1.91;
116;11;88;27.27;36.66;1.91;
117;11;86;29.91;36.66;1.91;
118;11;84;32.55;36.66;1.91;
